ID,Level,Final,Level Index,Diff
0,Critical Reflection,3,4,1
1,Simple Reflection,3,3,0
2,Simple Reflection,3,3,0
3,Simple Reflection,2,3,1
4,Simple Reflection,2,3,1
5,Simple Reflection,2,3,1
6,Critical Reflection,4,4,0
7,Critical Reflection,2,4,2
8,Simple Reflection,2,3,1
9,Simple Reflection,3,3,0
10,Understanding,1,2,1
11,Simple Reflection,3,3,0
12,Simple Reflection,3,3,0
13,Simple Reflection,2,3,1
14,Critical Reflection,3,4,1
15,Critical Reflection,2,4,2
16,Simple Reflection,2,3,1
17,Critical Reflection,2,4,2
18,Simple Reflection,2,3,1
19,Critical Reflection,3,4,1
20,Simple Reflection,2,3,1
21,Simple Reflection,2,3,1
22,Critical Reflection,4,4,0
23,Simple Reflection,2,3,1
24,Simple Reflection,4,3,-1
25,Simple Reflection,2,3,1
26,Simple Reflection,2,3,1
27,Simple Reflection,2,3,1
28,Critical Reflection,2,4,2
29,Simple Reflection,2,3,1
30,Critical Reflection,4,4,0
31,Critical Reflection,3,4,1
32,Simple Reflection,2,3,1
33,Understanding,1,2,1
34,Critical Reflection,3,4,1
35,Simple Reflection,3,3,0
36,Simple Reflection,3,3,0
37,Simple Reflection,2,3,1
38,Simple Reflection,3,3,0
39,Simple Reflection,3,3,0
40,Simple Reflection,1,3,2
41,Simple Reflection,1,3,2
42,Critical Reflection,3,4,1
43,Critical Reflection,4,4,0
44,Critical Reflection,3,4,1
45,Simple Reflection,2,3,1
46,Simple Reflection,2,3,1
47,Simple Reflection,2,3,1
48,Simple Reflection,2,3,1
49,Simple Reflection,2,3,1
50,Simple Reflection,2,3,1
51,Simple Reflection,2,3,1
52,Critical Reflection,4,4,0
53,Simple Reflection,2,3,1
54,Simple Reflection,2,3,1
55,Simple Reflection,2,3,1
56,Critical Reflection,3,4,1
57,Simple Reflection,3,3,0
58,Simple Reflection,1,3,2
59,Simple Reflection,2,3,1
60,Critical Reflection,3,4,1
61,No-Reflection,1,1,0
62,Simple Reflection,1,3,2
63,Simple Reflection,2,3,1
64,Critical Reflection,2,4,2
65,Critical Reflection,3,4,1
66,Simple Reflection,2,3,1
67,Simple Reflection,2,3,1
68,Simple Reflection,2,3,1
69,Critical Reflection,4,4,0
70,Critical Reflection,4,4,0
71,Simple Reflection,1,3,2
72,Simple Reflection,2,3,1
73,Simple Reflection,2,3,1
74,Critical Reflection,3,4,1
75,Simple Reflection,2,3,1
76,Simple Reflection,3,3,0
77,Simple Reflection,2,3,1
78,Critical Reflection,3,4,1
79,Simple Reflection,2,3,1
80,Critical Reflection,3,4,1
81,Simple Reflection,2,3,1
82,Simple Reflection,2,3,1
83,Critical Reflection,3,4,1
84,Simple Reflection,2,3,1
85,Critical Reflection,2,4,2
86,Simple Reflection,2,3,1
87,Critical Reflection,4,4,0
88,Simple Reflection,3,3,0
89,Critical Reflection,3,4,1
90,Simple Reflection,2,3,1
91,Simple Reflection,2,3,1
92,Simple Reflection,3,3,0
93,Simple Reflection,1,3,2
94,Simple Reflection,3,3,0
95,Simple Reflection,3,3,0
96,Simple Reflection,3,3,0
97,Critical Reflection,3,4,1
98,Simple Reflection,1,3,2
99,Simple Reflection,2,3,1
100,Critical Reflection,3,4,1
101,Critical Reflection,3,4,1
102,Critical Reflection,3,4,1
103,Simple Reflection,2,3,1
104,Simple Reflection,2,3,1
105,Understanding,1,2,1
106,Simple Reflection,3,3,0
107,Simple Reflection,2,3,1
108,Simple Reflection,3,3,0
109,Critical Reflection,4,4,0
110,Simple Reflection,3,3,0
111,Simple Reflection,2,3,1
112,Simple Reflection,3,3,0
113,Simple Reflection,2,3,1
114,Critical Reflection,3,4,1
115,Simple Reflection,4,3,-1
116,Simple Reflection,1,3,2
117,Simple Reflection,3,3,0
118,Simple Reflection,2,3,1
119,Critical Reflection,3,4,1
120,Simple Reflection,2,3,1
121,Simple Reflection,2,3,1
122,Critical Reflection,3,4,1
123,Simple Reflection,3,3,0
124,Simple Reflection,3,3,0
125,Critical Reflection,3,4,1
126,Critical Reflection,3,4,1
127,Simple Reflection,3,3,0
128,Simple Reflection,2,3,1
129,Simple Reflection,1,3,2
130,Critical Reflection,3,4,1
131,Simple Reflection,2,3,1
132,Simple Reflection,3,3,0
133,Critical Reflection,3,4,1
134,Simple Reflection,3,3,0
135,Critical Reflection,2,4,2
136,Simple Reflection,3,3,0
137,Simple Reflection,1,3,2
138,Simple Reflection,2,3,1
139,Simple Reflection,3,3,0
140,Simple Reflection,3,3,0
141,Critical Reflection,4,4,0
142,Critical Reflection,3,4,1
143,Simple Reflection,3,3,0
144,Simple Reflection,2,3,1
145,Simple Reflection,2,3,1
146,Simple Reflection,3,3,0
147,Simple Reflection,1,3,2
148,Simple Reflection,3,3,0
149,Simple Reflection,2,3,1
150,Critical Reflection,3,4,1
151,Critical Reflection,3,4,1
152,Simple Reflection,3,3,0
153,Simple Reflection,2,3,1
154,Critical Reflection,4,4,0
155,Critical Reflection,2,4,2
156,Simple Reflection,3,3,0
157,Simple Reflection,3,3,0
158,Simple Reflection,2,3,1
159,Critical Reflection,3,4,1
160,Simple Reflection,3,3,0
161,Critical Reflection,4,4,0
162,Simple Reflection,2,3,1
163,Critical Reflection,3,4,1
164,Simple Reflection,2,3,1
165,Simple Reflection,2,3,1
166,Simple Reflection,3,3,0
167,Critical Reflection,3,4,1
168,Simple Reflection,3,3,0
169,Simple Reflection,2,3,1
170,Simple Reflection,3,3,0
171,Simple Reflection,2,3,1
172,Simple Reflection,2,3,1
173,Critical Reflection,3,4,1
174,Simple Reflection,2,3,1
175,Simple Reflection,2,3,1
176,Simple Reflection,3,3,0
177,Understanding,1,2,1
178,Simple Reflection,3,3,0
179,Critical Reflection,2,4,2
180,Critical Reflection,2,4,2
181,Simple Reflection,2,3,1
182,Simple Reflection,2,3,1
183,Simple Reflection,2,3,1
184,Simple Reflection,3,3,0
185,Critical Reflection,4,4,0
186,Simple Reflection,2,3,1
187,Simple Reflection,2,3,1
188,Simple Reflection,2,3,1
189,Simple Reflection,1,3,2
190,Critical Reflection,3,4,1
191,Simple Reflection,2,3,1
192,Simple Reflection,4,3,-1
193,Critical Reflection,3,4,1
194,Simple Reflection,3,3,0
195,Critical Reflection,3,4,1
196,Simple Reflection,3,3,0
197,Simple Reflection,3,3,0
198,Critical Reflection,3,4,1
199,Critical Reflection,4,4,0
200,Simple Reflection,2,3,1
201,Critical Reflection,3,4,1
202,Critical Reflection,3,4,1
203,Simple Reflection,3,3,0
204,Critical Reflection,4,4,0
205,Critical Reflection,3,4,1
206,Simple Reflection,2,3,1
207,Simple Reflection,1,3,2
208,Simple Reflection,4,3,-1
209,Simple Reflection,2,3,1
210,Simple Reflection,3,3,0
211,Simple Reflection,2,3,1
212,Simple Reflection,1,3,2
213,Simple Reflection,1,3,2
214,Simple Reflection,2,3,1
215,Critical Reflection,4,4,0
216,Critical Reflection,4,4,0
217,Critical Reflection,3,4,1
218,Critical Reflection,4,4,0
219,Critical Reflection,3,4,1
220,Simple Reflection,2,3,1
221,Simple Reflection,1,3,2
222,Simple Reflection,1,3,2
223,Simple Reflection,3,3,0
224,Simple Reflection,3,3,0
225,Critical Reflection,4,4,0
226,Simple Reflection,2,3,1
227,Simple Reflection,3,3,0
228,Simple Reflection,2,3,1
229,Simple Reflection,2,3,1
230,Understanding,1,2,1
231,Simple Reflection,3,3,0
232,Critical Reflection,3,4,1
233,Critical Reflection,4,4,0
234,Critical Reflection,4,4,0
235,Critical Reflection,3,4,1
236,Critical Reflection,4,4,0
237,Simple Reflection,2,3,1
238,Critical Reflection,3,4,1
239,Simple Reflection,2,3,1
240,Simple Reflection,2,3,1
241,Simple Reflection,2,3,1
242,Simple Reflection,2,3,1
243,Understanding,1,2,1
244,Simple Reflection,1,3,2
245,Simple Reflection,2,3,1
246,Simple Reflection,3,3,0
247,Critical Reflection,3,4,1
248,Simple Reflection,2,3,1
249,Critical Reflection,2,4,2
250,Simple Reflection,3,3,0
251,Simple Reflection,3,3,0
252,Simple Reflection,2,3,1
253,Critical Reflection,3,4,1
254,Critical Reflection,3,4,1
255,Simple Reflection,2,3,1
256,Critical Reflection,3,4,1
257,Critical Reflection,3,4,1
258,Critical Reflection,3,4,1
259,Simple Reflection,3,3,0
260,Simple Reflection,3,3,0
261,Critical Reflection,3,4,1
262,Critical Reflection,2,4,2
263,Simple Reflection,3,3,0
264,Simple Reflection,3,3,0
265,Simple Reflection,2,3,1
266,Simple Reflection,2,3,1
267,Simple Reflection,3,3,0
268,Simple Reflection,2,3,1
269,Simple Reflection,2,3,1
270,Simple Reflection,2,3,1
271,Simple Reflection,3,3,0
272,Simple Reflection,2,3,1
273,Simple Reflection,3,3,0
274,Simple Reflection,3,3,0
275,Simple Reflection,2,3,1
276,Simple Reflection,2,3,1
277,Simple Reflection,3,3,0
278,Understanding,2,2,0
279,Simple Reflection,2,3,1
280,Critical Reflection,3,4,1
281,Simple Reflection,1,3,2
282,Simple Reflection,2,3,1
283,Simple Reflection,1,3,2
284,Simple Reflection,2,3,1
285,Simple Reflection,2,3,1
286,Simple Reflection,2,3,1
287,Critical Reflection,3,4,1
288,Simple Reflection,3,3,0
289,Critical Reflection,2,4,2
290,Simple Reflection,2,3,1
291,Simple Reflection,2,3,1
292,Simple Reflection,2,3,1
293,Simple Reflection,2,3,1
294,Simple Reflection,3,3,0
295,Simple Reflection,3,3,0
296,Simple Reflection,2,3,1
297,Critical Reflection,3,4,1
298,Simple Reflection,2,3,1
299,Simple Reflection,2,3,1
300,Critical Reflection,3,4,1
301,Simple Reflection,2,3,1
302,Critical Reflection,2,4,2
303,Simple Reflection,2,3,1
304,Simple Reflection,2,3,1
305,Critical Reflection,2,4,2
306,Simple Reflection,3,3,0
307,Critical Reflection,3,4,1
308,Simple Reflection,2,3,1
309,Critical Reflection,2,4,2
310,Simple Reflection,2,3,1
311,Simple Reflection,3,3,0
312,Simple Reflection,3,3,0
313,Critical Reflection,3,4,1
314,Simple Reflection,3,3,0
315,Simple Reflection,2,3,1
316,Critical Reflection,2,4,2
317,Simple Reflection,3,3,0
318,Simple Reflection,3,3,0
319,Critical Reflection,3,4,1
320,Simple Reflection,2,3,1
321,Critical Reflection,3,4,1
322,Simple Reflection,3,3,0
323,Simple Reflection,2,3,1
324,Critical Reflection,2,4,2
325,Simple Reflection,2,3,1
326,Critical Reflection,3,4,1
327,Critical Reflection,2,4,2
328,Simple Reflection,1,3,2
329,Simple Reflection,2,3,1
330,Critical Reflection,3,4,1
331,Critical Reflection,2,4,2
332,Critical Reflection,2,4,2
333,Simple Reflection,2,3,1
334,Critical Reflection,3,4,1
335,Simple Reflection,3,3,0
336,Simple Reflection,2,3,1
337,Simple Reflection,2,3,1
338,Simple Reflection,3,3,0
339,Simple Reflection,3,3,0
340,Critical Reflection,2,4,2
341,Critical Reflection,3,4,1
342,Critical Reflection,2,4,2
343,Simple Reflection,3,3,0
344,Simple Reflection,4,3,-1
345,Simple Reflection,2,3,1
346,Simple Reflection,3,3,0
347,Simple Reflection,2,3,1
348,Simple Reflection,2,3,1
349,Simple Reflection,2,3,1
350,Critical Reflection,3,4,1
351,Critical Reflection,2,4,2
352,Simple Reflection,3,3,0
353,Simple Reflection,3,3,0
354,Simple Reflection,3,3,0
355,Critical Reflection,3,4,1
356,Simple Reflection,2,3,1
357,Simple Reflection,2,3,1
358,Simple Reflection,1,3,2
359,Simple Reflection,2,3,1
360,Critical Reflection,3,4,1
361,Simple Reflection,3,3,0
362,Simple Reflection,2,3,1
363,Simple Reflection,2,3,1
364,Critical Reflection,3,4,1
365,Simple Reflection,3,3,0
366,Simple Reflection,3,3,0
367,Simple Reflection,3,3,0
368,Simple Reflection,2,3,1
369,Simple Reflection,2,3,1
370,Critical Reflection,3,4,1
371,Simple Reflection,3,3,0
372,Critical Reflection,3,4,1
373,Critical Reflection,3,4,1
374,Simple Reflection,3,3,0
375,Simple Reflection,2,3,1
376,Simple Reflection,2,3,1
377,Simple Reflection,3,3,0
378,Simple Reflection,3,3,0
379,Critical Reflection,4,4,0
380,Simple Reflection,3,3,0
381,Simple Reflection,2,3,1
382,Simple Reflection,3,3,0
383,Simple Reflection,3,3,0
384,Simple Reflection,2,3,1
385,Critical Reflection,3,4,1
386,Critical Reflection,2,4,2
387,Simple Reflection,3,3,0
388,Simple Reflection,2,3,1
389,Simple Reflection,2,3,1
390,Critical Reflection,3,4,1
391,Simple Reflection,2,3,1
392,Simple Reflection,3,3,0
393,Simple Reflection,3,3,0
394,Critical Reflection,3,4,1
395,Simple Reflection,2,3,1
396,Simple Reflection,2,3,1
397,Critical Reflection,3,4,1
398,Critical Reflection,4,4,0
399,Critical Reflection,3,4,1
400,Simple Reflection,3,3,0
401,Simple Reflection,3,3,0
402,Simple Reflection,2,3,1
403,Simple Reflection,4,3,-1
404,Simple Reflection,3,3,0
405,Simple Reflection,3,3,0
406,Simple Reflection,3,3,0
407,Simple Reflection,3,3,0
408,Simple Reflection,2,3,1
409,Critical Reflection,3,4,1
410,Critical Reflection,3,4,1
411,Simple Reflection,2,3,1
412,Critical Reflection,3,4,1
413,Critical Reflection,3,4,1
414,Critical Reflection,2,4,2
415,Simple Reflection,3,3,0
416,Simple Reflection,3,3,0
417,Critical Reflection,3,4,1
418,No-Reflection,2,1,-1
419,Simple Reflection,2,3,1
420,Simple Reflection,2,3,1
421,Simple Reflection,2,3,1
422,Critical Reflection,3,4,1
423,Simple Reflection,3,3,0
424,Simple Reflection,2,3,1
425,Critical Reflection,3,4,1
426,Critical Reflection,3,4,1
427,Critical Reflection,3,4,1
428,Simple Reflection,2,3,1
429,Understanding,1,2,1
430,Simple Reflection,2,3,1
431,Critical Reflection,3,4,1
432,Simple Reflection,2,3,1
433,Simple Reflection,3,3,0
434,Simple Reflection,4,3,-1
435,Simple Reflection,3,3,0
436,Critical Reflection,2,4,2
437,Simple Reflection,3,3,0
438,Simple Reflection,3,3,0
439,Critical Reflection,3,4,1
440,Critical Reflection,3,4,1
441,Critical Reflection,3,4,1
442,Simple Reflection,3,3,0
443,Simple Reflection,2,3,1
444,Critical Reflection,4,4,0
445,Simple Reflection,2,3,1
446,Simple Reflection,4,3,-1
447,Simple Reflection,3,3,0
448,Simple Reflection,1,3,2
449,Simple Reflection,4,3,-1
450,Simple Reflection,2,3,1
451,Critical Reflection,3,4,1
452,Simple Reflection,2,3,1
453,Simple Reflection,2,3,1
454,Simple Reflection,2,3,1
455,Simple Reflection,3,3,0
456,Simple Reflection,3,3,0
457,Simple Reflection,3,3,0
458,Simple Reflection,2,3,1
459,Simple Reflection,2,3,1
460,Simple Reflection,1,3,2
461,Simple Reflection,2,3,1
462,Simple Reflection,2,3,1
463,Simple Reflection,2,3,1
464,Simple Reflection,3,3,0
465,Simple Reflection,2,3,1
466,Simple Reflection,3,3,0
467,Critical Reflection,3,4,1
468,Simple Reflection,2,3,1
469,Critical Reflection,2,4,2
470,Critical Reflection,3,4,1
471,Simple Reflection,1,3,2
472,Simple Reflection,2,3,1
473,Simple Reflection,2,3,1
474,Critical Reflection,2,4,2
475,Simple Reflection,2,3,1
476,Simple Reflection,2,3,1
477,Critical Reflection,2,4,2
478,Simple Reflection,2,3,1
479,Critical Reflection,2,4,2
480,Critical Reflection,2,4,2
481,Simple Reflection,2,3,1
482,Simple Reflection,3,3,0
483,Critical Reflection,3,4,1
484,Simple Reflection,2,3,1
485,Simple Reflection,2,3,1
486,Simple Reflection,3,3,0
487,Simple Reflection,2,3,1
488,Simple Reflection,2,3,1
489,Simple Reflection,3,3,0
490,Simple Reflection,2,3,1
491,Simple Reflection,2,3,1
492,Simple Reflection,3,3,0
493,Understanding,1,2,1
494,Simple Reflection,2,3,1
495,Simple Reflection,2,3,1
496,Critical Reflection,4,4,0
497,Simple Reflection,2,3,1
498,Simple Reflection,1,3,2
499,Simple Reflection,2,3,1
500,Critical Reflection,3,4,1
501,Simple Reflection,3,3,0
502,Simple Reflection,2,3,1
503,Critical Reflection,2,4,2
504,Simple Reflection,4,3,-1
505,Critical Reflection,3,4,1
506,Simple Reflection,2,3,1
507,Simple Reflection,1,3,2
508,Simple Reflection,2,3,1
509,Simple Reflection,2,3,1
510,Simple Reflection,3,3,0
511,Simple Reflection,4,3,-1
512,Simple Reflection,3,3,0
513,Simple Reflection,3,3,0
514,Simple Reflection,2,3,1
515,Simple Reflection,3,3,0
516,Simple Reflection,3,3,0
517,Simple Reflection,2,3,1
518,Simple Reflection,3,3,0
519,Simple Reflection,1,3,2
520,Critical Reflection,4,4,0
521,Critical Reflection,2,4,2
522,Critical Reflection,4,4,0
523,Simple Reflection,3,3,0
524,Simple Reflection,2,3,1
525,Simple Reflection,2,3,1
526,Simple Reflection,3,3,0
527,Critical Reflection,3,4,1
528,Critical Reflection,2,4,2
529,Simple Reflection,2,3,1
530,Simple Reflection,2,3,1
531,Simple Reflection,2,3,1
532,Simple Reflection,2,3,1
533,Simple Reflection,1,3,2
534,Simple Reflection,3,3,0
535,Simple Reflection,2,3,1
536,Simple Reflection,2,3,1
537,Simple Reflection,1,3,2
538,Simple Reflection,2,3,1
539,Simple Reflection,2,3,1
540,Simple Reflection,3,3,0
541,Critical Reflection,4,4,0
542,Simple Reflection,1,3,2
543,Simple Reflection,2,3,1
544,Simple Reflection,1,3,2
545,Simple Reflection,1,3,2
546,Simple Reflection,1,3,2
547,Understanding,2,2,0
548,Simple Reflection,4,3,-1
549,Simple Reflection,2,3,1
550,Simple Reflection,1,3,2
551,Simple Reflection,2,3,1
552,Critical Reflection,3,4,1
553,Simple Reflection,3,3,0
554,Simple Reflection,3,3,0
555,Simple Reflection,2,3,1
556,Simple Reflection,3,3,0
557,Simple Reflection,2,3,1
558,No-Reflection,1,1,0
559,Critical Reflection,3,4,1
560,Simple Reflection,2,3,1
561,Simple Reflection,2,3,1
562,Simple Reflection,2,3,1
563,Simple Reflection,3,3,0
564,Critical Reflection,3,4,1
565,Simple Reflection,4,3,-1
566,Simple Reflection,3,3,0
567,Critical Reflection,2,4,2
568,Critical Reflection,3,4,1
569,Critical Reflection,3,4,1
570,Simple Reflection,2,3,1
571,Simple Reflection,2,3,1
572,Simple Reflection,2,3,1
573,Simple Reflection,1,3,2
574,Simple Reflection,2,3,1
575,Simple Reflection,1,3,2
576,Simple Reflection,2,3,1
577,Simple Reflection,2,3,1
578,Simple Reflection,3,3,0
579,Simple Reflection,2,3,1
580,Simple Reflection,2,3,1
581,Simple Reflection,3,3,0
582,Simple Reflection,3,3,0
583,Critical Reflection,3,4,1
584,Simple Reflection,2,3,1
585,Simple Reflection,2,3,1
586,Critical Reflection,3,4,1
587,Simple Reflection,2,3,1
588,Simple Reflection,4,3,-1
589,Simple Reflection,2,3,1
590,Simple Reflection,2,3,1
591,Simple Reflection,2,3,1
592,Critical Reflection,3,4,1
593,Critical Reflection,3,4,1
594,Simple Reflection,2,3,1
595,Simple Reflection,1,3,2
596,Critical Reflection,3,4,1
597,Simple Reflection,2,3,1
598,Simple Reflection,3,3,0
599,Simple Reflection,2,3,1
600,Understanding,1,2,1
601,Simple Reflection,1,3,2
602,Critical Reflection,4,4,0
603,Simple Reflection,2,3,1
604,Critical Reflection,3,4,1
605,Critical Reflection,2,4,2
606,Simple Reflection,2,3,1
607,Simple Reflection,2,3,1
608,Simple Reflection,2,3,1
609,Critical Reflection,3,4,1
610,Simple Reflection,1,3,2
611,Simple Reflection,2,3,1
612,Simple Reflection,2,3,1
613,Simple Reflection,2,3,1
614,Simple Reflection,2,3,1
615,Simple Reflection,2,3,1
616,Simple Reflection,1,3,2
617,Simple Reflection,1,3,2
618,Simple Reflection,2,3,1
619,Critical Reflection,3,4,1
620,Critical Reflection,3,4,1
621,Simple Reflection,2,3,1
622,Critical Reflection,2,4,2
623,Simple Reflection,3,3,0
624,Critical Reflection,2,4,2
625,Critical Reflection,2,4,2
626,Simple Reflection,2,3,1
627,Simple Reflection,2,3,1
628,Simple Reflection,2,3,1
629,Simple Reflection,2,3,1
630,Critical Reflection,3,4,1
631,Simple Reflection,3,3,0
632,Simple Reflection,2,3,1
633,Simple Reflection,3,3,0
634,Simple Reflection,4,3,-1
635,Simple Reflection,2,3,1
636,Simple Reflection,2,3,1
637,Simple Reflection,1,3,2
638,Simple Reflection,3,3,0
639,Critical Reflection,3,4,1
640,Simple Reflection,2,3,1
641,Critical Reflection,4,4,0
642,Understanding,1,2,1
643,Simple Reflection,3,3,0
644,Simple Reflection,2,3,1
645,Simple Reflection,2,3,1
646,Simple Reflection,2,3,1
647,Critical Reflection,3,4,1
648,Critical Reflection,3,4,1
649,Critical Reflection,3,4,1
650,Critical Reflection,3,4,1
651,Critical Reflection,4,4,0
652,Critical Reflection,2,4,2
653,Simple Reflection,3,3,0
654,Simple Reflection,3,3,0
655,Critical Reflection,2,4,2
656,Simple Reflection,2,3,1
657,Simple Reflection,3,3,0
658,Critical Reflection,2,4,2
659,Simple Reflection,2,3,1
660,Simple Reflection,3,3,0
661,Simple Reflection,2,3,1
662,Critical Reflection,3,4,1
663,Simple Reflection,2,3,1
664,Critical Reflection,3,4,1
665,Simple Reflection,3,3,0
666,Simple Reflection,3,3,0
667,Simple Reflection,3,3,0
668,Simple Reflection,2,3,1
669,Critical Reflection,4,4,0
670,Simple Reflection,3,3,0
671,Simple Reflection,3,3,0
672,Simple Reflection,3,3,0
673,Simple Reflection,2,3,1
674,Simple Reflection,2,3,1
675,Simple Reflection,3,3,0
676,Simple Reflection,1,3,2
677,Understanding,1,2,1
678,Critical Reflection,3,4,1
679,Critical Reflection,3,4,1
680,Critical Reflection,4,4,0
681,Critical Reflection,3,4,1
682,Critical Reflection,3,4,1
683,Simple Reflection,1,3,2
684,Simple Reflection,2,3,1
685,Simple Reflection,3,3,0
686,Simple Reflection,2,3,1
687,Simple Reflection,2,3,1
688,Simple Reflection,1,3,2
689,Simple Reflection,3,3,0
690,Simple Reflection,2,3,1
691,Simple Reflection,2,3,1
692,Simple Reflection,2,3,1
693,Simple Reflection,2,3,1
694,Simple Reflection,3,3,0
695,Critical Reflection,2,4,2
696,Simple Reflection,1,3,2
697,Simple Reflection,2,3,1
698,Understanding,1,2,1
699,Simple Reflection,2,3,1
700,Simple Reflection,2,3,1
701,Simple Reflection,4,3,-1
702,Critical Reflection,3,4,1
703,Simple Reflection,2,3,1
704,Simple Reflection,2,3,1
705,Critical Reflection,4,4,0
706,Simple Reflection,2,3,1
707,Simple Reflection,2,3,1
708,Simple Reflection,2,3,1
709,Simple Reflection,1,3,2
710,Simple Reflection,2,3,1
711,Simple Reflection,3,3,0
712,Critical Reflection,3,4,1
713,Simple Reflection,3,3,0
714,Understanding,1,2,1
715,Critical Reflection,4,4,0
716,Simple Reflection,2,3,1
717,Simple Reflection,3,3,0
718,Simple Reflection,2,3,1
719,Simple Reflection,2,3,1
720,Critical Reflection,4,4,0
721,Simple Reflection,3,3,0
722,Simple Reflection,3,3,0
723,Simple Reflection,2,3,1
724,Simple Reflection,3,3,0
725,Simple Reflection,1,3,2
726,Simple Reflection,2,3,1
727,Simple Reflection,3,3,0
728,Critical Reflection,2,4,2
729,Simple Reflection,2,3,1
730,Simple Reflection,2,3,1
731,Simple Reflection,2,3,1
732,Simple Reflection,2,3,1
733,Simple Reflection,2,3,1
734,Simple Reflection,2,3,1
735,Simple Reflection,3,3,0
736,Simple Reflection,2,3,1
737,Simple Reflection,3,3,0
738,Simple Reflection,2,3,1
739,Critical Reflection,3,4,1
740,Simple Reflection,2,3,1
741,Simple Reflection,1,3,2
742,Simple Reflection,1,3,2
743,Critical Reflection,3,4,1
744,Simple Reflection,2,3,1
745,Simple Reflection,2,3,1
746,Simple Reflection,2,3,1
747,Critical Reflection,3,4,1
748,Simple Reflection,2,3,1
749,Simple Reflection,2,3,1
750,Simple Reflection,2,3,1
751,Critical Reflection,4,4,0
752,Simple Reflection,3,3,0
753,Simple Reflection,2,3,1
754,Simple Reflection,2,3,1
755,Critical Reflection,2,4,2
756,Critical Reflection,1,4,3
757,Simple Reflection,3,3,0
758,Critical Reflection,2,4,2
759,Simple Reflection,3,3,0
760,Simple Reflection,3,3,0
761,Simple Reflection,2,3,1
762,Critical Reflection,2,4,2
763,Critical Reflection,2,4,2
764,Simple Reflection,3,3,0
765,Critical Reflection,3,4,1
766,Simple Reflection,3,3,0
767,Simple Reflection,2,3,1
768,Simple Reflection,1,3,2
769,Critical Reflection,3,4,1
770,Critical Reflection,3,4,1
771,Critical Reflection,4,4,0
772,Simple Reflection,3,3,0
773,Simple Reflection,2,3,1
774,Simple Reflection,2,3,1
775,Simple Reflection,2,3,1
776,Critical Reflection,3,4,1
777,Critical Reflection,4,4,0
778,Simple Reflection,4,3,-1
779,Simple Reflection,1,3,2
