ID,Level,Final
1042,Simple Reflection,3
1043,Simple Reflection,3
1044,Critical Reflection,2
1045,Critical Reflection,2
1046,Understanding,1
1047,Understanding,1
1048,Simple Reflection,4
1049,Simple Reflection,2
1050,Simple Reflection,2
1051,Critical Reflection,4
1052,Critical Reflection,3
1053,No-Reflection,2
1054,Simple Reflection,2
1055,Simple Reflection,2
1056,Simple Reflection,3
1057,Simple Reflection,2
1058,Critical Reflection,3
1059,Simple Reflection,2
1060,Critical Reflection,3
1061,Simple Reflection,2
1062,Simple Reflection,2
1063,Simple Reflection,3
1064,Simple Reflection,2
1065,Simple Reflection,3
1066,Simple Reflection,2
1067,Simple Reflection,2
1068,Simple Reflection,2
1069,Critical Reflection,3
1070,Simple Reflection,1
1071,Simple Reflection,2
1072,Simple Reflection,2
1073,Simple Reflection,2
1074,Simple Reflection,2
1075,Simple Reflection,2
1076,Simple Reflection,2
1077,Critical Reflection,3
1078,Simple Reflection,3
1079,Simple Reflection,2
1080,Simple Reflection,2
1081,Simple Reflection,1
1082,Simple Reflection,2
1083,Simple Reflection,3
1084,Simple Reflection,3
1085,Critical Reflection,3
1086,Simple Reflection,2
1087,Simple Reflection,3
1088,Simple Reflection,3
1089,Critical Reflection,3
1090,Simple Reflection,3
1091,Simple Reflection,2
1092,Simple Reflection,3
1093,Simple Reflection,3
1094,Simple Reflection,3
1095,Simple Reflection,3
1096,Critical Reflection,3
1097,Critical Reflection,3
1098,Simple Reflection,3
1099,Simple Reflection,3
1100,Simple Reflection,1
1101,Simple Reflection,2
1102,Simple Reflection,4
1103,Critical Reflection,2
1104,Critical Reflection,3
1105,Critical Reflection,3
1106,Simple Reflection,1
1107,Simple Reflection,1
1108,Simple Reflection,3
1109,Simple Reflection,3
1110,Simple Reflection,3
1111,Simple Reflection,1
1112,Simple Reflection,2
1113,Simple Reflection,3
1114,Simple Reflection,2
1115,Simple Reflection,3
1116,Simple Reflection,2
1117,Simple Reflection,2
1118,Critical Reflection,4
1119,Critical Reflection,3
1120,Simple Reflection,3
1121,Critical Reflection,3
1122,Critical Reflection,3
1123,Simple Reflection,2
1124,Simple Reflection,2
1125,Simple Reflection,3
1126,Simple Reflection,3
1127,Simple Reflection,1
1128,Critical Reflection,3
1129,Simple Reflection,2
1130,Simple Reflection,2
1131,Simple Reflection,1
1132,Simple Reflection,3
1133,Simple Reflection,2
1134,Understanding,1
1135,Critical Reflection,3
1136,Critical Reflection,2
1137,Understanding,1
1138,Simple Reflection,2
1139,Simple Reflection,1
1140,Simple Reflection,3
1141,Critical Reflection,3
1142,Simple Reflection,2
1143,Critical Reflection,3
1144,Simple Reflection,3
1145,Critical Reflection,3
1146,Critical Reflection,3
1147,Simple Reflection,1
1148,Critical Reflection,3
1149,Simple Reflection,3
1150,Simple Reflection,1
1151,Understanding,1
1152,Simple Reflection,3
1153,Simple Reflection,3
1154,Simple Reflection,3
1155,Simple Reflection,3
1156,Simple Reflection,3
1157,Critical Reflection,3
1158,Critical Reflection,3
1159,Critical Reflection,3
1160,Simple Reflection,3
1161,Simple Reflection,2
1162,Understanding,1
1163,Simple Reflection,3
1164,Simple Reflection,2
1165,Critical Reflection,3
1166,Simple Reflection,2
1167,Simple Reflection,3
1168,Simple Reflection,2
1169,Critical Reflection,4
1170,Simple Reflection,3
1171,Simple Reflection,2
1172,Simple Reflection,2
1173,Critical Reflection,4
1174,Critical Reflection,3
1175,Simple Reflection,2
1176,Simple Reflection,2
1177,Simple Reflection,2
1178,Simple Reflection,2
1179,Simple Reflection,3
1180,Simple Reflection,3
1181,Simple Reflection,3
1182,Simple Reflection,2
1183,Critical Reflection,3
1184,Simple Reflection,2
1185,Simple Reflection,2
1186,Simple Reflection,3
1187,Critical Reflection,3
1188,Simple Reflection,3
1189,Simple Reflection,1
1190,Simple Reflection,1
1191,Simple Reflection,3
1192,Simple Reflection,2
1193,Simple Reflection,3
1194,Simple Reflection,2
1195,Simple Reflection,2
1196,Critical Reflection,3
1197,Simple Reflection,3
1198,Critical Reflection,3
1199,Simple Reflection,2
1200,Simple Reflection,3
1201,Simple Reflection,1
1202,Simple Reflection,3
1203,Simple Reflection,2
1204,Critical Reflection,1
1205,Simple Reflection,4
1206,Critical Reflection,3
1207,Simple Reflection,3
1208,Critical Reflection,3
1209,Simple Reflection,2
1210,Critical Reflection,3
1211,Simple Reflection,2
1212,Simple Reflection,3
1213,Critical Reflection,3
1214,Simple Reflection,2
1215,Simple Reflection,1
1216,Simple Reflection,2
1217,Simple Reflection,2
1218,Simple Reflection,2
1219,Simple Reflection,2
1220,Critical Reflection,4
1221,Simple Reflection,2
1222,Simple Reflection,3
1223,Simple Reflection,2
1224,Simple Reflection,1
1225,Simple Reflection,1
1226,Simple Reflection,2
1227,Simple Reflection,3
1228,Critical Reflection,3
1229,Critical Reflection,3
1230,Critical Reflection,3
1231,Simple Reflection,1
1232,Simple Reflection,1
1233,Understanding,1
1234,Simple Reflection,1
1235,Critical Reflection,3
1236,Simple Reflection,1
1237,Simple Reflection,2
1238,Simple Reflection,3
1239,Simple Reflection,2
1240,Critical Reflection,2
1241,Simple Reflection,2
1242,Simple Reflection,1
1243,Simple Reflection,2
1244,Critical Reflection,3
1245,Simple Reflection,2
1246,Simple Reflection,2
1247,Simple Reflection,2
1248,Critical Reflection,3
1249,Simple Reflection,2
1250,Simple Reflection,2
1251,Simple Reflection,2
1252,Simple Reflection,3
1253,Critical Reflection,3
1254,Simple Reflection,3
1255,Simple Reflection,2
1256,Simple Reflection,3
1257,Simple Reflection,4
1258,Simple Reflection,2
1259,Simple Reflection,3
1260,Simple Reflection,3
1261,Simple Reflection,1
1262,Simple Reflection,2
1263,Simple Reflection,1
1264,Simple Reflection,1
1265,Simple Reflection,3
1266,Simple Reflection,2
1267,Simple Reflection,3
1268,Simple Reflection,2
1269,Critical Reflection,2
1270,Simple Reflection,2
1271,Critical Reflection,2
1272,Simple Reflection,3
1273,Simple Reflection,2
1274,Simple Reflection,3
1275,Simple Reflection,3
1276,Simple Reflection,3
1277,Understanding,2
1278,Simple Reflection,3
1279,Critical Reflection,2
1280,Critical Reflection,3
1281,Simple Reflection,3
1282,Simple Reflection,3
1283,Critical Reflection,3
1284,Simple Reflection,1
1285,Simple Reflection,1
1286,Critical Reflection,4
1287,Simple Reflection,4
1288,Simple Reflection,3
1289,Simple Reflection,2
1290,Simple Reflection,2
1291,Simple Reflection,1
1292,Simple Reflection,2
1293,Critical Reflection,4
1294,Simple Reflection,3
1295,Simple Reflection,1
1296,Simple Reflection,1
1297,Simple Reflection,3
1298,Simple Reflection,3
1299,Simple Reflection,3
1300,Simple Reflection,1
1301,Critical Reflection,3
1302,Simple Reflection,1
1303,Simple Reflection,3
1304,Simple Reflection,1
1305,Critical Reflection,4
1306,Critical Reflection,4
1307,Simple Reflection,3
1308,Simple Reflection,2
1309,Simple Reflection,1
1310,Simple Reflection,1
1311,Critical Reflection,3
1312,Simple Reflection,2
1313,Simple Reflection,2
1314,Simple Reflection,1
1315,Simple Reflection,1
1316,Simple Reflection,2
1317,No-Reflection,2
1318,Simple Reflection,2
1319,Simple Reflection,3
1320,Simple Reflection,2
1321,Simple Reflection,2
1322,Simple Reflection,3
1323,Simple Reflection,1
1324,Simple Reflection,2
1325,Simple Reflection,2
1326,Simple Reflection,3
1327,Simple Reflection,2
1328,Simple Reflection,1
1329,Simple Reflection,1
1330,Critical Reflection,3
1331,Critical Reflection,3
1332,Simple Reflection,2
1333,Simple Reflection,1
1334,Simple Reflection,1
1335,Simple Reflection,3
1336,Simple Reflection,2
1337,Simple Reflection,3
1338,Simple Reflection,2
1339,Critical Reflection,4
1340,Critical Reflection,4
1341,Simple Reflection,3
1342,Simple Reflection,3
1343,Simple Reflection,2
1344,Simple Reflection,2
1345,Simple Reflection,2
1346,Simple Reflection,1
1347,Simple Reflection,2
1348,Simple Reflection,3
1349,Understanding,1
1350,Simple Reflection,1
1351,Simple Reflection,1
1352,Critical Reflection,1
1353,Simple Reflection,2
1354,Simple Reflection,2
1355,Critical Reflection,3
1356,Simple Reflection,1
1357,Simple Reflection,3
1358,Simple Reflection,3
1359,Simple Reflection,3
1360,Simple Reflection,2
1361,Simple Reflection,3
1362,Simple Reflection,1
1363,Critical Reflection,4
1364,Simple Reflection,2
1365,Critical Reflection,2
1366,Simple Reflection,1
1367,Simple Reflection,2
1368,Simple Reflection,2
1369,Simple Reflection,2
1370,Simple Reflection,2
1371,Simple Reflection,1
1372,Understanding,1
1373,Simple Reflection,2
1374,Simple Reflection,2
1375,Simple Reflection,3
1376,Simple Reflection,2
1377,Simple Reflection,2
1378,Simple Reflection,1
1379,Critical Reflection,2
1380,Simple Reflection,2
1381,Simple Reflection,2
1382,Simple Reflection,3
1383,Critical Reflection,2
1384,Simple Reflection,2
1385,Simple Reflection,1
1386,Critical Reflection,3
1387,Simple Reflection,3
1388,Simple Reflection,3
1389,Simple Reflection,3
1390,Simple Reflection,2
1391,Simple Reflection,3
1392,Simple Reflection,3
1393,Simple Reflection,1
1394,Critical Reflection,4
1395,Simple Reflection,2
1396,Simple Reflection,2
1397,Simple Reflection,3
1398,Simple Reflection,2
1399,Simple Reflection,1
1400,Simple Reflection,1
1401,Simple Reflection,2
1402,Simple Reflection,3
1403,Simple Reflection,1
1404,Simple Reflection,2
1405,Critical Reflection,3
1406,Critical Reflection,2
1407,Simple Reflection,2
1408,Simple Reflection,1
1409,Critical Reflection,1
1410,Simple Reflection,3
1411,Simple Reflection,2
1412,Simple Reflection,3
1413,Simple Reflection,1
1414,Simple Reflection,2
1415,Simple Reflection,3
1416,Simple Reflection,2
1417,Simple Reflection,2
1418,Critical Reflection,3
1419,Simple Reflection,1
1420,Critical Reflection,2
1421,Simple Reflection,2
1422,Simple Reflection,3
1423,Simple Reflection,3
1424,Simple Reflection,2
1425,Simple Reflection,2
1426,Critical Reflection,2
1427,Simple Reflection,2
1428,Simple Reflection,3
1429,Simple Reflection,2
1430,Simple Reflection,2
1431,Simple Reflection,2
1432,Critical Reflection,2
1433,Simple Reflection,2
1434,Critical Reflection,4
1435,Critical Reflection,3
1436,Simple Reflection,3
1437,Simple Reflection,2
1438,Simple Reflection,3
1439,Critical Reflection,1
1440,Simple Reflection,4
1441,Critical Reflection,3
1442,Simple Reflection,3
1443,Simple Reflection,1
1444,Simple Reflection,3
1445,Critical Reflection,2
1446,Simple Reflection,3
1447,Simple Reflection,2
1448,Simple Reflection,2
1449,Simple Reflection,1
1450,Simple Reflection,2
1451,Simple Reflection,3
1452,Critical Reflection,2
1453,Simple Reflection,3
1454,Simple Reflection,2
1455,Simple Reflection,2
1456,Simple Reflection,1
1457,Simple Reflection,3
1458,Simple Reflection,3
1459,Simple Reflection,2
1460,Simple Reflection,2
1461,Simple Reflection,3
1462,Simple Reflection,2
1463,No-Reflection,1
1464,Simple Reflection,2
1465,Simple Reflection,1
1466,Simple Reflection,2
1467,Simple Reflection,2
1468,Simple Reflection,1
1469,No-Reflection,1
1470,Simple Reflection,3
1471,Simple Reflection,2
1472,Critical Reflection,2
1473,Critical Reflection,3
1474,Simple Reflection,2
1475,Simple Reflection,2
1476,Simple Reflection,1
1477,Simple Reflection,1
1478,Simple Reflection,3
1479,Simple Reflection,1
1480,Simple Reflection,3
1481,Critical Reflection,3
1482,Simple Reflection,3
1483,Simple Reflection,3
1484,Simple Reflection,2
1485,Simple Reflection,1
1486,Critical Reflection,3
1487,Simple Reflection,2
1488,Simple Reflection,2
1489,Critical Reflection,2
1490,Simple Reflection,2
1491,Critical Reflection,4
1492,Simple Reflection,3
1493,Simple Reflection,2
1494,Simple Reflection,3
1495,Simple Reflection,2
1496,Understanding,1
1497,Simple Reflection,2
1498,Simple Reflection,3
1499,Simple Reflection,2
1500,Simple Reflection,3
1501,Simple Reflection,3
1502,Critical Reflection,4
1503,Simple Reflection,3
1504,Simple Reflection,3
1505,Simple Reflection,2
1506,Critical Reflection,4
1507,Critical Reflection,2
1508,Simple Reflection,2
1509,Simple Reflection,3
1510,Simple Reflection,4
1511,Simple Reflection,2
1512,Simple Reflection,2
1513,Simple Reflection,1
1514,Simple Reflection,1
1515,Simple Reflection,2
1516,Simple Reflection,3
1517,Simple Reflection,3
1518,Simple Reflection,2
1519,Simple Reflection,2
1520,Simple Reflection,1
1521,Simple Reflection,2
1522,Simple Reflection,3
1523,Critical Reflection,4
1524,Simple Reflection,4
1525,Critical Reflection,3
1526,Simple Reflection,1
1527,Simple Reflection,1
1528,Critical Reflection,4
1529,Critical Reflection,3
1530,Simple Reflection,3
1531,Simple Reflection,1
1532,Simple Reflection,2
1533,Simple Reflection,3
1534,Simple Reflection,2
1535,Simple Reflection,2
1536,Critical Reflection,4
1537,Simple Reflection,2
1538,Simple Reflection,3
1539,Simple Reflection,2
1540,Simple Reflection,1
1541,Simple Reflection,1
1542,Simple Reflection,3
1543,Simple Reflection,4
1544,Simple Reflection,3
1545,Simple Reflection,2
1546,Simple Reflection,1
1547,Critical Reflection,3
1548,Simple Reflection,4
1549,Simple Reflection,3
1550,Simple Reflection,1
1551,Understanding,1
1552,Simple Reflection,2
1553,Simple Reflection,4
1554,Simple Reflection,2
1555,Simple Reflection,2
1556,Simple Reflection,2
1557,Simple Reflection,3
1558,Simple Reflection,2
1559,Simple Reflection,2
1560,Simple Reflection,1
1561,Critical Reflection,2
1562,Simple Reflection,2
1563,Simple Reflection,2
1564,Simple Reflection,2
1565,Simple Reflection,2
1566,Simple Reflection,2
1567,Simple Reflection,2
1568,No-Reflection,1
1569,Simple Reflection,1
1570,Simple Reflection,3
1571,Simple Reflection,3
1572,Critical Reflection,3
1573,Simple Reflection,3
1574,Simple Reflection,2
1575,Simple Reflection,2
1576,Simple Reflection,3
1577,Simple Reflection,3
1578,Simple Reflection,2
1579,Simple Reflection,2
1580,Simple Reflection,2
1581,Simple Reflection,1
1582,Simple Reflection,2
1583,Simple Reflection,2
1584,Simple Reflection,3
1585,Critical Reflection,3
1586,Simple Reflection,2
1587,Simple Reflection,1
1588,Critical Reflection,3
1589,Simple Reflection,2
1590,Simple Reflection,3
1591,Simple Reflection,2
1592,Simple Reflection,2
1593,Simple Reflection,3
1594,Critical Reflection,4
1595,Simple Reflection,2
1596,Simple Reflection,2
1597,Understanding,1
1598,Critical Reflection,3
1599,Simple Reflection,2
1600,Understanding,1
1601,Simple Reflection,2
1602,Simple Reflection,3
1603,No-Reflection,1
1604,Simple Reflection,2
1605,Simple Reflection,3
1606,Critical Reflection,3
1607,Simple Reflection,2
1608,Simple Reflection,2
1609,Simple Reflection,2
1610,Simple Reflection,2
1611,Simple Reflection,3
1612,Simple Reflection,2
1613,Simple Reflection,3
1614,Simple Reflection,3
1615,Simple Reflection,2
1616,Simple Reflection,2
1617,Simple Reflection,3
1618,Simple Reflection,3
1619,Simple Reflection,1
1620,Simple Reflection,1
1621,Critical Reflection,3
1622,Simple Reflection,3
1623,Simple Reflection,3
1624,Simple Reflection,2
1625,Critical Reflection,3
1626,Simple Reflection,2
1627,Simple Reflection,2
1628,Simple Reflection,2
1629,Simple Reflection,3
1630,Critical Reflection,4
1631,Simple Reflection,3
1632,Simple Reflection,2
1633,Simple Reflection,1
1634,Understanding,2
1635,Simple Reflection,2
1636,Simple Reflection,2
1637,Simple Reflection,4
1638,Simple Reflection,3
1639,Simple Reflection,3
1640,Simple Reflection,3
1641,No-Reflection,1
1642,Simple Reflection,3
1643,Simple Reflection,2
1644,Simple Reflection,3
1645,Simple Reflection,4
1646,Simple Reflection,2
1647,Simple Reflection,2
1648,Simple Reflection,2
1649,Simple Reflection,2
1650,Simple Reflection,3
1651,Simple Reflection,3
1652,Simple Reflection,2
1653,No-Reflection,1
1654,Simple Reflection,2
1655,Simple Reflection,1
1656,Simple Reflection,2
1657,Simple Reflection,2
1658,Simple Reflection,2
1659,Simple Reflection,2
1660,Simple Reflection,3
1661,Simple Reflection,3
1662,Simple Reflection,2
1663,Simple Reflection,2
1664,Critical Reflection,4
1665,Critical Reflection,3
1666,Simple Reflection,4
1667,Simple Reflection,2
1668,Critical Reflection,4
1669,Simple Reflection,3
1670,Critical Reflection,3
1671,Simple Reflection,2
1672,Simple Reflection,2
1673,Simple Reflection,1
1674,Simple Reflection,1
1675,Critical Reflection,2
1676,Simple Reflection,2
1677,Simple Reflection,1
1678,Simple Reflection,2
1679,Simple Reflection,1
1680,Simple Reflection,2
1681,Simple Reflection,4
1682,Simple Reflection,3
1683,Simple Reflection,2
1684,Simple Reflection,2
1685,Simple Reflection,3
1686,Understanding,2
1687,Critical Reflection,3
1688,Simple Reflection,4
1689,Simple Reflection,2
1690,Simple Reflection,2
1691,Critical Reflection,3
1692,Simple Reflection,2
1693,Simple Reflection,4
1694,Simple Reflection,2
1695,Simple Reflection,3
1696,Critical Reflection,3
1697,Critical Reflection,2
1698,Understanding,1
1699,Simple Reflection,3
1700,Simple Reflection,1
1701,Simple Reflection,3
1702,Simple Reflection,2
1703,Simple Reflection,3
1704,Critical Reflection,4
1705,Simple Reflection,4
1706,Simple Reflection,3
1707,Simple Reflection,2
1708,Simple Reflection,3
1709,Simple Reflection,3
1710,Simple Reflection,3
1711,No-Reflection,2
1712,Simple Reflection,2
1713,Simple Reflection,2
1714,Simple Reflection,2
1715,Simple Reflection,2
1716,Simple Reflection,2
1717,Simple Reflection,2
1718,Simple Reflection,3
1719,Understanding,2
1720,Simple Reflection,3
1721,Critical Reflection,4
1722,Simple Reflection,3
1723,Understanding,1
1724,Simple Reflection,3
1725,Simple Reflection,2
1726,Simple Reflection,4
1727,Critical Reflection,3
1728,Simple Reflection,1
1729,Critical Reflection,2
1730,Simple Reflection,2
1731,Simple Reflection,2
1732,Simple Reflection,2
1733,Critical Reflection,3
1734,Critical Reflection,4
1735,Simple Reflection,3
1736,Simple Reflection,3
1737,Critical Reflection,3
1738,Simple Reflection,3
1739,Simple Reflection,2
1740,Simple Reflection,2
1741,Critical Reflection,4
1742,Critical Reflection,3
1743,Simple Reflection,3
1744,Simple Reflection,3
1745,Simple Reflection,3
1746,Simple Reflection,4
1747,Simple Reflection,3
1748,Simple Reflection,3
1749,Simple Reflection,3
1750,Understanding,2
1751,Simple Reflection,2
1752,Critical Reflection,3
1753,Simple Reflection,3
1754,Understanding,2
1755,Critical Reflection,2
1756,Simple Reflection,2
1757,Simple Reflection,3
1758,Critical Reflection,4
1759,Critical Reflection,2
1760,Simple Reflection,3
1761,Simple Reflection,2
1762,No-Reflection,1
1763,Simple Reflection,1
1764,Simple Reflection,2
1765,Simple Reflection,1
1766,Simple Reflection,1
1767,Simple Reflection,3
1768,Simple Reflection,2
1769,Simple Reflection,3
1770,Simple Reflection,2
1771,Simple Reflection,2
1772,Simple Reflection,2
1773,Simple Reflection,3
1774,Simple Reflection,3
1775,Critical Reflection,3
1776,Simple Reflection,2
1777,Simple Reflection,2
1778,Simple Reflection,3
1779,Understanding,2
1780,Simple Reflection,3
1781,Critical Reflection,3
1782,Simple Reflection,2
1783,Simple Reflection,2
1784,Simple Reflection,3
1785,Simple Reflection,1
1786,Simple Reflection,2
1787,Simple Reflection,3
1788,Simple Reflection,2
1789,Simple Reflection,3
1790,Simple Reflection,1
1791,No-Reflection,1
1792,Simple Reflection,3
1793,Simple Reflection,3
1794,Simple Reflection,2
1795,Critical Reflection,3
1796,Simple Reflection,3
1797,Critical Reflection,3
1798,Simple Reflection,3
1799,Critical Reflection,3
1800,Simple Reflection,4
1801,Simple Reflection,4
1802,Simple Reflection,2
1803,Critical Reflection,3
1804,Simple Reflection,4
1805,Critical Reflection,3
1806,Critical Reflection,3
1807,Simple Reflection,2
1808,Simple Reflection,1
1809,Simple Reflection,2
1810,Simple Reflection,1
1811,Simple Reflection,1
1812,Understanding,2
1813,Simple Reflection,2
1814,Simple Reflection,3
1815,Critical Reflection,3
1816,Simple Reflection,2
1817,Understanding,2
1818,Simple Reflection,2
1819,Critical Reflection,3
1820,Understanding,2
1821,Simple Reflection,2
1822,Critical Reflection,4
1823,Simple Reflection,2
1824,Understanding,1
1825,Simple Reflection,3
1826,Critical Reflection,3
1827,Simple Reflection,2
1828,Simple Reflection,3
1829,Simple Reflection,3
1830,Simple Reflection,3
1831,Critical Reflection,4
1832,Simple Reflection,2
1833,Simple Reflection,2
1834,Simple Reflection,3
1835,Simple Reflection,3
1836,Simple Reflection,3
1837,Simple Reflection,2
1838,Simple Reflection,3
1839,Simple Reflection,3
1840,Simple Reflection,3
1841,Simple Reflection,2
1842,Critical Reflection,3
1843,Simple Reflection,2
1844,Simple Reflection,3
1845,Simple Reflection,2
1846,No-Reflection,1
1847,Understanding,2
1848,Critical Reflection,3
1849,Critical Reflection,4
1850,Simple Reflection,2
1851,Simple Reflection,3
1852,Simple Reflection,2
1853,Simple Reflection,2
1854,Simple Reflection,3
1855,Simple Reflection,2
1856,Critical Reflection,3
1857,Simple Reflection,1
1858,Simple Reflection,3
1859,Simple Reflection,3
1860,Simple Reflection,3
1861,Simple Reflection,4
1862,Simple Reflection,1
1863,Simple Reflection,3
1864,Simple Reflection,3
1865,Simple Reflection,2
1866,Simple Reflection,3
1867,Simple Reflection,4
1868,Critical Reflection,3
1869,Simple Reflection,2
1870,Simple Reflection,2
1871,Simple Reflection,2
1872,Simple Reflection,3
1873,Simple Reflection,3
1874,Understanding,2
1875,Simple Reflection,3
1876,Simple Reflection,3
1877,Critical Reflection,3
1878,Simple Reflection,2
1879,Simple Reflection,2
1880,Understanding,2
1881,Simple Reflection,2
1882,Simple Reflection,1
1883,Simple Reflection,3
1884,Critical Reflection,3
1885,Simple Reflection,3
1886,Simple Reflection,3
1887,Simple Reflection,3
1888,Simple Reflection,2
1889,Understanding,3
1890,Simple Reflection,2
1891,Simple Reflection,2
1892,Simple Reflection,3
1893,Simple Reflection,3
1894,Simple Reflection,2
1895,Simple Reflection,2
1896,Simple Reflection,2
1897,Simple Reflection,3
1898,Simple Reflection,3
1899,Simple Reflection,2
1900,Simple Reflection,3
1901,Simple Reflection,2
1902,Simple Reflection,3
1903,Simple Reflection,3
1904,Simple Reflection,2
1905,Simple Reflection,1
1906,Simple Reflection,3
1907,Simple Reflection,2
1908,Simple Reflection,2
1909,Critical Reflection,4
1910,Simple Reflection,1
1911,Simple Reflection,3
1912,No-Reflection,1
1913,Understanding,1
1914,Simple Reflection,2
1915,Simple Reflection,3
1916,Simple Reflection,2
1917,Simple Reflection,3
1918,Simple Reflection,3
1919,Simple Reflection,2
1920,Simple Reflection,3
1921,Critical Reflection,3
1922,Simple Reflection,1
1923,Simple Reflection,2
1924,Simple Reflection,3
1925,Simple Reflection,2
1926,Simple Reflection,2
1927,Simple Reflection,4
1928,Critical Reflection,3
1929,Simple Reflection,2
1930,Simple Reflection,2
1931,Simple Reflection,2
1932,Simple Reflection,3
1933,Simple Reflection,2
1934,Simple Reflection,3
1935,Simple Reflection,1
1936,Critical Reflection,3
1937,Simple Reflection,2
1938,Simple Reflection,3
1939,Simple Reflection,2
1940,Critical Reflection,3
1941,Simple Reflection,3
1942,Simple Reflection,2
1943,Critical Reflection,3
1944,Simple Reflection,3
1945,Critical Reflection,3
1946,Simple Reflection,3
1947,Simple Reflection,3
1948,Critical Reflection,3
1949,Simple Reflection,1
1950,Simple Reflection,3
1951,Simple Reflection,3
1952,Critical Reflection,3
1953,Simple Reflection,3
1954,Simple Reflection,3
1955,Simple Reflection,3
1956,Simple Reflection,1
1957,Critical Reflection,3
1958,Simple Reflection,2
1959,Simple Reflection,3
1960,Simple Reflection,1
1961,Simple Reflection,3
1962,Critical Reflection,3
1963,Simple Reflection,3
1964,Critical Reflection,3
1965,Simple Reflection,2
1966,Simple Reflection,3
1967,Critical Reflection,3
1968,Critical Reflection,3
1969,Simple Reflection,3
1970,Simple Reflection,3
1971,Simple Reflection,1
1972,Simple Reflection,3
1973,Simple Reflection,2
1974,Simple Reflection,2
1975,Simple Reflection,3
1976,Simple Reflection,3
1977,Critical Reflection,3
1978,Simple Reflection,2
1979,Simple Reflection,2
1980,Simple Reflection,2
1981,Simple Reflection,3
1982,Simple Reflection,3
1983,Simple Reflection,2
1984,Critical Reflection,3
1985,Simple Reflection,3
1986,Simple Reflection,2
1987,Simple Reflection,3
1988,Critical Reflection,2
1989,Simple Reflection,2
1990,Simple Reflection,1
1991,Simple Reflection,3
1992,Simple Reflection,2
1993,Critical Reflection,3
1994,Simple Reflection,2
1995,Simple Reflection,2
1996,Simple Reflection,2
1997,Simple Reflection,4
1998,Simple Reflection,3
1999,Simple Reflection,4
2000,No-Reflection,2
2001,Simple Reflection,3
2002,No-Reflection,1
2003,Simple Reflection,2
2004,Simple Reflection,1
2005,Simple Reflection,2
2006,Simple Reflection,3
2007,Simple Reflection,3
2008,Simple Reflection,2
2009,Simple Reflection,2
2010,Simple Reflection,2
2011,Simple Reflection,1
2012,Simple Reflection,2
2013,Simple Reflection,1
2014,Understanding,2
2015,Simple Reflection,3
2016,Simple Reflection,2
2017,Simple Reflection,4
2018,Simple Reflection,2
2019,Critical Reflection,3
2020,Simple Reflection,2
2021,Simple Reflection,3
2022,Simple Reflection,2
2023,Simple Reflection,2
2024,Critical Reflection,3
2025,Simple Reflection,2
2026,Simple Reflection,2
2027,Simple Reflection,3
2028,Simple Reflection,3
2029,Simple Reflection,1
2030,Understanding,1
2031,Critical Reflection,3
2032,Simple Reflection,2
2033,Simple Reflection,2
2034,Simple Reflection,2
2035,No-Reflection,2
2036,Simple Reflection,3
2037,Simple Reflection,2
2038,Critical Reflection,3
2039,Simple Reflection,3
2040,Simple Reflection,1
2041,Understanding,2
2042,Simple Reflection,3
2043,Simple Reflection,2
2044,Simple Reflection,2
2045,Simple Reflection,3
2046,Critical Reflection,3
2047,Critical Reflection,4
2048,Simple Reflection,3
2049,Critical Reflection,3
